TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0067A 200910,A0067885B3 171958 S0067A 200910,16.539,16.577,16.55,16.527,16.515,16.543,16.546,16.532,16.555,24.864,24.862,24.859,24.867,24.871,24.868,24.859,24.86,24.855,0,4.169
A0067885B3 171958 T0068A 200910,A0067885B3 171958 S0068A 200910,16.568,16.584,16.567,16.561,16.51,16.544,16.574,16.52,16.562,24.864,24.861,24.859,24.871,24.876,24.872,24.863,24.864,24.861,0,4.169
A0067885B3 171958 T0069A 200910,A0067885B3 171958 S0069A 200910,16.547,16.545,16.515,16.512,16.467,16.485,16.528,16.493,16.497,24.866,24.864,24.862,24.868,24.874,24.867,24.859,24.862,24.857,10,4.192
A0067885B3 171958 T0070A 200910,A0067885B3 171958 S0070A 200910,16.553,16.55,16.542,16.546,16.506,16.536,16.55,16.516,16.568,24.856,24.849,24.85,24.858,24.861,24.857,24.848,24.847,24.848,2,4.175
A0067885B3 171958 T0071A 200910,A0067885B3 171958 S0071A 200910,16.556,16.574,16.556,16.566,16.499,16.565,16.563,16.549,16.57,24.865,24.864,24.856,24.868,24.872,24.87,24.86,24.863,24.857,2,4.175
A0067885B3 171958 T0072A 200910,A0067885B3 171958 S0072A 200910,16.536,16.562,16.539,16.554,16.511,16.523,16.555,16.541,16.54,24.864,24.856,24.855,24.869,24.871,24.863,24.86,24.857,24.855,1,4.172
A0067885B3 171958 T0073A 200910,A0067885B3 171958 S0073A 200910,16.529,16.553,16.527,16.518,16.495,16.542,16.535,16.525,16.543,24.862,24.859,24.856,24.869,24.871,24.867,24.86,24.859,24.856,10,4.192
A0067885B3 171958 T0074A 200910,A0067885B3 171958 S0074A 200910,16.538,16.542,16.546,16.497,16.489,16.512,16.517,16.501,16.529,24.866,24.865,24.86,24.874,24.879,24.874,24.866,24.867,24.866,7,4.186
A0067885B3 171958 T0075A 200910,A0067885B3 171958 S0075A 200910,16.538,16.555,16.53,16.516,16.458,16.503,16.526,16.486,16.519,24.86,24.86,24.853,24.864,24.869,24.863,24.858,24.858,24.851,2,4.175
A0067885B3 171958 T0076A 200910,A0067885B3 171958 S0076A 200910,16.548,16.557,16.532,16.525,16.478,16.528,16.529,16.521,16.545,24.868,24.865,24.86,24.871,24.876,24.87,24.863,24.865,24.859,1,4.172
A0067885B3 171958 T0077A 200910,A0067885B3 171958 S0077A 200910,16.551,16.567,16.545,16.549,16.519,16.536,16.558,16.56,16.533,24.867,24.864,24.855,24.87,24.874,24.866,24.86,24.861,24.856,10,4.192
A0067885B3 171958 T0078A 200910,A0067885B3 171958 S0078A 200910,16.531,16.578,16.566,16.545,16.523,16.566,16.565,16.541,16.579,24.867,24.862,24.859,24.875,24.876,24.87,24.865,24.861,24.858,7,4.186
A0067885B3 171958 T0079A 200910,A0067885B3 171958 S0079A 200910,16.546,16.55,16.541,16.539,16.502,16.528,16.55,16.52,16.546,24.864,24.863,24.859,24.872,24.875,24.87,24.863,24.863,24.861,2,4.175
A0067885B3 171958 T0080A 200910,A0067885B3 171958 S0080A 200910,16.541,16.561,16.538,16.525,16.506,16.528,16.537,16.536,16.537,24.862,24.864,24.857,24.87,24.874,24.867,24.862,24.864,24.859,0,4.169
A0067885B3 171958 T0081A 200910,A0067885B3 171958 S0081A 200910,16.545,16.543,16.527,16.503,16.479,16.479,16.534,16.476,16.494,24.866,24.862,24.86,24.872,24.877,24.87,24.863,24.866,24.861,7,4.186
A0067885B3 171958 T0082A 200910,A0067885B3 171958 S0082A 200910,16.52,16.544,16.522,16.5,16.466,16.482,16.513,16.478,16.51,24.868,24.863,24.862,24.873,24.876,24.872,24.866,24.863,24.864,2,4.175
A0067885B3 171958 T0083A 200910,A0067885B3 171958 S0083A 200910,16.563,16.578,16.589,16.553,16.51,16.566,16.571,16.533,16.565,24.863,24.863,24.858,24.87,24.874,24.87,24.862,24.866,24.859,2,4.175
A0067885B3 171958 T0084A 200910,A0067885B3 171958 S0084A 200910,16.552,16.567,16.54,16.514,16.51,16.514,16.539,16.527,16.521,24.866,24.863,24.861,24.872,24.879,24.872,24.866,24.864,24.862,10,4.192
A0067885B3 171958 T0085A 200910,A0067885B3 171958 S0085A 200910,16.549,16.574,16.549,16.544,16.549,16.541,16.559,16.57,16.557,24.86,24.855,24.853,24.869,24.874,24.866,24.861,24.863,24.86,7,4.186
A0067885B3 171958 T0086A 200910,A0067885B3 171958 S0086A 200910,16.527,16.56,16.535,16.514,16.506,16.527,16.538,16.511,16.552,24.865,24.864,24.86,24.872,24.877,24.871,24.863,24.864,24.863,0,4.169
A0067885B3 171958 T0087A 200910,A0067885B3 171958 S0087A 200910,16.54,16.565,16.532,16.536,16.509,16.523,16.543,16.518,16.555,24.869,24.863,24.859,24.876,24.879,24.872,24.868,24.867,24.864,0,4.169
A0067885B3 171958 T0088A 200910,A0067885B3 171958 S0088A 200910,16.569,16.566,16.561,16.571,16.525,16.546,16.586,16.533,16.557,24.864,24.864,24.86,24.872,24.878,24.87,24.864,24.864,24.864,10,4.192
A0067885B3 171958 T0089A 200910,A0067885B3 171958 S0089A 200910,16.564,16.555,16.542,16.531,16.501,16.528,16.546,16.519,16.544,24.866,24.864,24.861,24.875,24.879,24.872,24.867,24.868,24.863,7,4.186
A0067885B3 171958 T0090A 200910,A0067885B3 171958 S0090A 200910,16.566,16.563,16.543,16.571,16.507,16.555,16.564,16.539,16.577,24.865,24.863,24.86,24.875,24.876,24.873,24.869,24.867,24.862,2,4.175
A0067885B3 171958 T0091A 200910,A0067885B3 171958 S0091A 200910,16.553,16.547,16.542,16.534,16.516,16.519,16.543,16.542,16.536,24.864,24.863,24.859,24.868,24.874,24.868,24.861,24.862,24.858,0,4.169
A0067885B3 171958 T0092A 200910,A0067885B3 171958 S0092A 200910,16.556,16.561,16.552,16.537,16.504,16.521,16.552,16.524,16.536,24.863,24.861,24.86,24.869,24.875,24.868,24.864,24.864,24.862,10,4.192
A0067885B3 171958 T0093A 200910,A0067885B3 171958 S0093A 200910,16.531,16.553,16.541,16.523,16.508,16.538,16.544,16.521,16.552,24.864,24.864,24.854,24.868,24.876,24.867,24.86,24.862,24.856,7,4.186
A0067885B3 171958 T0094A 200910,A0067885B3 171958 S0094A 200910,16.504,16.575,16.514,16.506,16.494,16.506,16.526,16.512,16.526,24.865,24.862,24.859,24.871,24.876,24.869,24.863,24.866,24.862,7,4.186
A0067885B3 171958 T0095A 200910,A0067885B3 171958 S0095A 200910,16.538,16.544,16.522,16.505,16.482,16.505,16.535,16.491,16.525,24.86,24.857,24.854,24.867,24.872,24.865,24.859,24.859,24.859,2,4.175
A0067885B3 171958 T0096A 200910,A0067885B3 171958 S0096A 200910,16.53,16.574,16.544,16.53,16.504,16.553,16.557,16.516,16.565,24.864,24.861,24.857,24.87,24.874,24.87,24.864,24.863,24.86,7,4.186
A0067885B3 171958 T0097A 200910,A0067885B3 171958 S0097A 200910,16.543,16.546,16.538,16.509,16.483,16.503,16.529,16.494,16.513,24.862,24.863,24.854,24.87,24.876,24.867,24.861,24.862,24.858,7,4.186
A0067885B3 171958 T0098A 200910,A0067885B3 171958 S0098A 200910,16.536,16.536,16.539,16.518,16.451,16.523,16.542,16.461,16.543,24.866,24.867,24.858,24.875,24.877,24.872,24.864,24.866,24.863,7,4.186
A0067885B3 171958 T0099A 200910,A0067885B3 171958 S0099A 200910,16.553,16.549,16.553,16.503,16.475,16.516,16.525,16.498,16.537,24.861,24.861,24.855,24.867,24.871,24.868,24.86,24.857,24.857,2,4.175
A0067885B3 171958 T0100A 200910,A0067885B3 171958 S0100A 200910,16.54,16.54,16.513,16.522,16.473,16.496,16.54,16.481,16.526,24.867,24.864,24.86,24.875,24.88,24.874,24.886,24.866,24.86,7,4.186
A0067885B3 171958 T0101A 200910,A0067885B3 171958 S0101A 200910,16.538,16.553,16.516,16.531,16.51,16.512,16.541,16.533,16.542,24.861,24.857,24.855,24.867,24.872,24.865,24.857,24.858,24.853,2,4.175
A0067885B3 171958 T0102A 200910,A0067885B3 171958 S0102A 200910,16.532,16.54,16.547,16.482,16.469,16.483,16.444,16.457,16.497,24.864,24.861,24.857,24.872,24.877,24.871,24.863,24.863,24.859,0,4.169
A0067885B3 171958 T0103A 200910,A0067885B3 171958 S0103A 200910,16.53,16.545,16.526,16.479,16.473,16.459,16.507,16.475,16.486,24.866,24.865,24.858,24.873,24.878,24.87,24.863,24.865,24.857,7,4.186
A0067885B3 171958 T0104A 200910,A0067885B3 171958 S0104A 200910,16.525,16.579,16.537,16.489,16.532,16.519,16.505,16.541,16.549,24.865,24.862,24.857,24.873,24.879,24.874,24.863,24.865,24.858,7,4.186
A0067885B3 171958 T0105A 200910,A0067885B3 171958 S0105A 200910,16.532,16.552,16.542,16.482,16.472,16.503,16.503,16.483,16.519,24.868,24.868,24.862,24.876,24.877,24.873,24.868,24.859,24.864,0,4.169
A0067885B3 171958 T0106A 200910,A0067885B3 171958 S0106A 200910,16.562,16.585,16.554,16.544,16.509,16.54,16.563,16.524,16.555,24.864,24.86,24.856,24.873,24.876,24.873,24.864,24.863,24.859,7,4.186
A0067885B3 171958 T0107A 200910,A0067885B3 171958 S0107A 200910,16.537,16.544,16.537,16.524,16.496,16.514,16.542,16.511,16.533,24.871,24.868,24.863,24.879,24.881,24.877,24.87,24.869,24.867,2,4.175
A0067885B3 171958 T0108A 200910,A0067885B3 171958 S0108A 200910,16.544,16.531,16.553,16.494,16.483,16.493,16.511,16.493,16.518,24.867,24.863,24.859,24.875,24.877,24.873,24.864,24.866,24.862,0,4.169
A0067885B3 171958 T0109A 200910,A0067885B3 171958 S0109A 200910,16.548,16.566,16.554,16.528,16.532,16.55,16.551,16.539,16.563,24.864,24.863,24.856,24.874,24.878,24.871,24.864,24.865,24.861,7,4.186
A0067885B3 171958 T0110A 200910,A0067885B3 171958 S0110A 200910,16.515,16.581,16.523,16.511,16.527,16.497,16.528,16.529,16.53,24.864,24.864,24.858,24.876,24.88,24.875,24.867,24.87,24.862,2,4.175
A0067885B3 171958 T0111A 200910,A0067885B3 171958 S0111A 200910,16.545,16.535,16.536,16.478,16.458,16.465,16.512,16.454,16.5,24.865,24.864,24.861,24.874,24.876,24.874,24.863,24.863,24.861,7,4.186
A0067885B3 171958 T0112A 200910,A0067885B3 171958 S0112A 200910,16.539,16.578,16.54,16.55,16.498,16.551,16.56,16.522,16.576,24.865,24.861,24.857,24.874,24.877,24.873,24.865,24.862,24.86,2,4.175
A0067885B3 171958 T0113A 200910,A0067885B3 171958 S0113A 200910,16.544,16.571,16.535,16.544,16.523,16.529,16.559,16.543,16.548,24.866,24.86,24.858,24.871,24.878,24.872,24.863,24.866,24.861,0,4.169
A0067885B3 171958 T0114A 200910,A0067885B3 171958 S0114A 200910,16.539,16.554,16.529,16.536,16.5,16.537,16.56,16.533,16.539,24.854,24.851,24.849,24.865,24.864,24.861,24.854,24.851,24.849,7,4.186
A0067885B3 171958 T0115A 200910,A0067885B3 171958 S0115A 200910,16.543,16.54,16.548,16.542,16.502,16.531,16.552,16.532,16.538,24.865,24.859,24.857,24.871,24.871,24.871,24.857,24.856,24.854,2,4.175
A0067885B3 171958 T0116A 200910,A0067885B3 171958 S0116A 200910,16.551,16.579,16.546,16.528,16.513,16.517,16.533,16.537,16.539,24.863,24.858,24.854,24.867,24.87,24.867,24.86,24.859,24.856,1,4.172
A0067885B3 171958 T0117A 200910,A0067885B3 171958 S0117A 200910,16.553,16.56,16.533,16.556,16.539,16.526,16.571,16.551,16.554,24.861,24.861,24.857,24.867,24.873,24.871,24.863,24.862,24.857,7,4.186
A0067885B3 171958 T0118A 200910,A0067885B3 171958 S0118A 200910,16.539,16.557,16.532,16.534,16.494,16.519,16.54,16.528,16.532,24.865,24.865,24.863,24.874,24.878,24.874,24.865,24.868,24.861,2,4.175
A0067885B3 171958 T0119A 200910,A0067885B3 171958 S0119A 200910,16.559,16.547,16.541,16.513,16.5,16.511,16.531,16.522,16.53,24.866,24.86,24.856,24.874,24.877,24.872,24.864,24.867,24.859,1,4.172
A0067885B3 171958 T0120A 200910,A0067885B3 171958 S0120A 200910,16.541,16.565,16.52,16.525,16.511,16.523,16.541,16.533,16.539,24.864,24.862,24.858,24.87,24.872,24.869,24.859,24.857,24.857,7,4.186
A0067885B3 171958 T0121A 200910,A0067885B3 171958 S0121A 200910,16.546,16.553,16.54,16.519,16.505,16.517,16.524,16.54,16.526,24.864,24.859,24.857,24.871,24.874,24.871,24.86,24.87,24.856,2,4.175
A0067885B3 171958 T0122A 200910,A0067885B3 171958 S0122A 200910,16.549,16.548,16.545,16.533,16.483,16.505,16.55,16.498,16.523,24.863,24.864,24.861,24.873,24.878,24.874,24.86,24.865,24.861,2,4.175
A0067885B3 171958 T0123A 200910,A0067885B3 171958 S0123A 200910,16.547,16.571,16.549,16.522,16.528,16.525,16.539,16.547,16.535,24.868,24.865,24.861,24.874,24.877,24.873,24.862,24.86,24.861,7,4.186
A0067885B3 171958 T0124A 200910,A0067885B3 171958 S0124A 200910,16.552,16.567,16.537,16.54,16.493,16.504,16.548,16.523,16.526,24.867,24.866,24.862,24.875,24.879,24.874,24.864,24.865,24.863,2,4.175
A0067885B3 171958 T0125A 200910,A0067885B3 171958 S0125A 200910,16.544,16.581,16.537,16.531,16.5,16.534,16.561,16.508,16.554,24.862,24.857,24.853,24.87,24.871,24.868,24.855,24.858,24.856,2,4.175
