TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0058B 200910,A0067885B3 171958 S0058B 200910,16.541,16.555,16.564,16.54,16.519,16.556,16.586,16.508,16.579,24.847,24.847,24.839,24.855,24.86,24.859,24.854,24.856,24.849,2,4.175
A0067885B3 171958 T0059B 200910,A0067885B3 171958 S0059B 200910,16.551,16.567,16.551,16.523,16.54,16.536,16.545,16.559,16.551,24.853,24.854,24.849,24.861,24.865,24.862,24.86,24.867,24.861,7,4.186
A0067885B3 171958 T0060B 200910,A0067885B3 171958 S0060B 200910,16.537,16.562,16.558,16.504,16.511,16.511,16.531,16.53,16.52,24.861,24.859,24.857,24.869,24.876,24.874,24.866,24.871,24.868,2,4.175
A0067885B3 171958 T0061B 200910,A0067885B3 171958 S0061B 200910,16.554,16.543,16.556,16.552,16.515,16.538,16.578,16.533,16.55,24.85,24.848,24.846,24.858,24.863,24.862,24.855,24.86,24.859,2,4.175
A0067885B3 171958 T0062B 200910,A0067885B3 171958 S0062B 200910,16.532,16.577,16.532,16.505,16.545,16.502,16.538,16.532,16.534,24.853,24.852,24.848,24.864,24.864,24.863,24.86,24.864,24.861,7,4.186
A0067885B3 171958 T0063B 200910,A0067885B3 171958 S0063B 200910,16.554,16.549,16.553,16.569,16.505,16.553,16.592,16.516,16.576,24.863,24.864,24.86,24.869,24.876,24.865,24.866,24.874,24.864,7,4.186
A0067885B3 171958 T0064B 200910,A0067885B3 171958 S0064B 200910,16.542,16.58,16.552,16.562,16.533,16.56,16.557,16.546,16.544,24.864,24.864,24.857,24.872,24.877,24.874,24.872,24.876,24.871,2,4.175
A0067885B3 171958 T0065B 200910,A0067885B3 171958 S0065B 200910,16.543,16.587,16.514,16.519,16.542,16.514,16.541,16.544,16.551,24.854,24.852,24.848,24.86,24.866,24.863,24.863,24.873,24.865,7,4.186
A0067885B3 171958 T0066B 200910,A0067885B3 171958 S0066B 200910,16.546,16.547,16.543,16.518,16.509,16.534,16.537,16.526,16.55,24.87,24.871,24.861,24.876,24.881,24.875,24.871,24.879,24.872,7,4.186
A0067885B3 171958 T0067B 200910,A0067885B3 171958 S0067B 200910,16.558,16.57,16.567,16.546,16.547,16.578,16.574,16.572,16.582,24.866,24.864,24.86,24.876,24.88,24.874,24.875,24.879,24.874,2,4.175
A0067885B3 171958 T0068B 200910,A0067885B3 171958 S0068B 200910,16.547,16.557,16.565,16.542,16.494,16.53,16.543,16.521,16.55,24.861,24.856,24.854,24.867,24.869,24.87,24.864,24.871,24.863,7,4.186
A0067885B3 171958 T0069B 200910,A0067885B3 171958 S0069B 200910,16.543,16.536,16.535,16.515,16.469,16.521,16.541,16.484,16.539,24.853,24.857,24.849,24.863,24.872,24.864,24.863,24.868,24.858,2,4.175
A0067885B3 171958 T0070B 200910,A0067885B3 171958 S0070B 200910,16.531,16.525,16.519,16.498,16.434,16.481,16.52,16.439,16.517,24.859,24.853,24.851,24.866,24.869,24.865,24.865,24.868,24.866,2,4.175
A0067885B3 171958 T0071B 200910,A0067885B3 171958 S0071B 200910,16.504,16.555,16.535,16.476,16.461,16.547,16.51,16.482,16.55,24.856,24.853,24.848,24.868,24.872,24.864,24.865,24.869,24.868,7,4.186
A0067885B3 171958 T0072B 200910,A0067885B3 171958 S0072B 200910,16.536,16.57,16.522,16.532,16.512,16.491,16.549,16.539,16.5,24.866,24.863,24.86,24.873,24.875,24.872,24.866,24.87,24.866,2,4.175
A0067885B3 171958 T0073B 200910,A0067885B3 171958 S0073B 200910,16.536,16.558,16.527,16.539,16.51,16.524,16.546,16.537,16.535,24.852,24.858,24.845,24.856,24.868,24.856,24.858,24.871,24.854,7,4.186
A0067885B3 171958 T0074B 200910,A0067885B3 171958 S0074B 200910,16.529,16.567,16.541,16.515,16.509,16.519,16.547,16.509,16.536,24.875,24.872,24.869,24.879,24.885,24.881,24.877,24.881,24.875,7,4.186
A0067885B3 171958 T0075B 200910,A0067885B3 171958 S0075B 200910,16.557,16.551,16.525,16.517,16.493,16.493,16.529,16.506,16.512,24.864,24.862,24.856,24.874,24.873,24.87,24.87,24.886,24.868,7,4.186
A0067885B3 171958 T0076B 200910,A0067885B3 171958 S0076B 200910,16.539,16.563,16.543,16.539,16.516,16.535,16.557,16.518,16.558,24.863,24.859,24.854,24.872,24.872,24.867,24.869,24.876,24.867,2,4.175
A0067885B3 171958 T0077B 200910,A0067885B3 171958 S0077B 200910,16.541,16.557,16.537,16.555,16.512,16.549,16.576,16.522,16.574,24.873,24.873,24.866,24.882,24.886,24.882,24.88,24.885,24.882,7,4.186
A0067885B3 171958 T0078B 200910,A0067885B3 171958 S0078B 200910,16.53,16.559,16.539,16.51,16.491,16.511,16.539,16.488,16.551,24.857,24.854,24.852,24.865,24.868,24.865,24.864,24.873,24.865,7,4.186
A0067885B3 171958 T0079B 200910,A0067885B3 171958 S0079B 200910,16.532,16.557,16.549,16.521,16.492,16.522,16.548,16.496,16.537,24.867,24.865,24.86,24.87,24.876,24.874,24.869,24.874,24.87,7,4.186
A0067885B3 171958 T0080B 200910,A0067885B3 171958 S0080B 200910,16.513,16.566,16.536,16.508,16.487,16.508,16.539,16.492,16.541,24.869,24.867,24.863,24.874,24.878,24.876,24.871,24.88,24.875,7,4.186
A0067885B3 171958 T0081B 200910,A0067885B3 171958 S0081B 200910,16.539,16.546,16.522,16.48,16.458,16.48,16.509,16.464,16.497,24.867,24.868,24.861,24.877,24.88,24.874,24.881,24.885,24.878,7,4.186
A0067885B3 171958 T0082B 200910,A0067885B3 171958 S0082B 200910,16.525,16.546,16.526,16.506,16.48,16.492,16.519,16.485,16.519,24.866,24.868,24.861,24.872,24.881,24.874,24.871,24.878,24.872,7,4.186
A0067885B3 171958 T0083B 200910,A0067885B3 171958 S0083B 200910,16.552,16.536,16.528,16.521,16.468,16.5,16.529,16.486,16.528,24.87,24.866,24.864,24.876,24.883,24.88,24.876,24.881,24.878,7,4.186
A0067885B3 171958 T0084B 200910,A0067885B3 171958 S0084B 200910,16.533,16.562,16.553,16.524,16.497,16.551,16.548,16.521,16.554,24.867,24.861,24.86,24.873,24.877,24.873,24.864,24.869,24.86,7,4.186
A0067885B3 171958 T0085B 200910,A0067885B3 171958 S0085B 200910,16.549,16.582,16.564,16.542,16.514,16.581,16.558,16.533,16.595,24.863,24.861,24.855,24.87,24.874,24.869,24.867,24.872,24.867,7,4.186
A0067885B3 171958 T0086B 200910,A0067885B3 171958 S0086B 200910,16.559,16.55,16.541,16.53,16.486,16.52,16.539,16.51,16.539,24.863,24.855,24.857,24.867,24.865,24.866,24.863,24.864,24.862,7,4.186
A0067885B3 171958 T0087B 200910,A0067885B3 171958 S0087B 200910,16.557,16.576,16.529,16.569,16.561,16.51,16.58,16.577,16.54,24.857,24.856,24.85,24.863,24.866,24.861,24.856,24.866,24.857,7,4.186
A0067885B3 171958 T0088B 200910,A0067885B3 171958 S0088B 200910,16.546,16.577,16.563,16.534,16.533,16.545,16.556,16.533,16.573,24.857,24.86,24.848,24.866,24.868,24.862,24.858,24.868,24.855,7,4.186
A0067885B3 171958 T0089B 200910,A0067885B3 171958 S0089B 200910,16.521,16.571,16.545,16.509,16.494,16.501,16.529,16.499,16.525,24.868,24.868,24.864,24.877,24.882,24.88,24.878,24.885,24.881,7,4.186
A0067885B3 171958 T0090B 200910,A0067885B3 171958 S0090B 200910,16.529,16.554,16.542,16.508,16.488,16.505,16.53,16.487,16.538,24.869,24.866,24.862,24.875,24.879,24.877,24.875,24.877,24.875,7,4.186
A0067885B3 171958 T0091B 200910,A0067885B3 171958 S0091B 200910,16.544,16.581,16.516,16.543,16.523,16.523,16.552,16.534,16.555,24.866,24.862,24.857,24.871,24.877,24.871,24.872,24.873,24.866,7,4.186
A0067885B3 171958 T0092B 200910,A0067885B3 171958 S0092B 200910,16.546,16.565,16.551,16.543,16.527,16.549,16.573,16.532,16.573,24.866,24.867,24.86,24.873,24.88,24.875,24.873,24.88,24.873,7,4.186
A0067885B3 171958 T0093B 200910,A0067885B3 171958 S0093B 200910,16.55,16.562,16.548,16.563,16.505,16.526,16.574,16.535,16.535,24.868,24.868,24.864,24.877,24.881,24.878,24.873,24.881,24.874,7,4.186
A0067885B3 171958 T0094B 200910,A0067885B3 171958 S0094B 200910,16.546,16.563,16.545,16.524,16.535,16.525,16.56,16.533,16.549,24.856,24.855,24.848,24.862,24.869,24.858,24.863,24.865,24.859,7,4.186
A0067885B3 171958 T0095B 200910,A0067885B3 171958 S0095B 200910,16.523,16.511,16.542,16.487,16.44,16.502,16.509,16.453,16.538,24.864,24.865,24.858,24.874,24.878,24.873,24.87,24.877,24.873,7,4.186
A0067885B3 171958 T0096B 200910,A0067885B3 171958 S0096B 200910,16.558,16.56,16.567,16.525,16.51,16.552,16.541,16.535,16.558,24.868,24.867,24.861,24.873,24.882,24.874,24.871,24.88,24.872,7,4.186
A0067885B3 171958 T0097B 200910,A0067885B3 171958 S0097B 200910,16.533,16.573,16.561,16.54,16.526,16.523,16.55,16.545,16.552,24.859,24.859,24.856,24.868,24.875,24.871,24.866,24.876,24.871,7,4.186
A0067885B3 171958 T0098B 200910,A0067885B3 171958 S0098B 200910,16.531,16.576,16.532,16.521,16.521,16.501,16.541,16.533,16.521,24.859,24.86,24.855,24.864,24.869,24.87,24.861,24.87,24.869,10,4.192
A0067885B3 171958 T0099B 200910,A0067885B3 171958 S0099B 200910,16.535,16.562,16.527,16.525,16.5,16.507,16.552,16.498,16.542,24.85,24.85,24.851,24.857,24.864,24.857,24.854,24.86,24.853,7,4.186
A0067885B3 171958 T0100B 200910,A0067885B3 171958 S0100B 200910,16.539,16.556,16.552,16.502,16.518,16.529,16.534,16.519,16.554,24.869,24.868,24.86,24.877,24.882,24.874,24.872,24.879,24.873,7,4.186
A0067885B3 171958 T0101B 200910,A0067885B3 171958 S0101B 200910,16.561,16.57,16.522,16.526,16.502,16.482,16.543,16.508,16.511,24.872,24.87,24.868,24.88,24.886,24.881,24.876,24.883,24.876,10,4.192
A0067885B3 171958 T0102B 200910,A0067885B3 171958 S0102B 200910,16.529,16.551,16.524,16.512,16.478,16.496,16.527,16.491,16.525,24.864,24.861,24.86,24.877,24.877,24.876,24.873,24.877,24.875,10,4.192
A0067885B3 171958 T0103B 200910,A0067885B3 171958 S0103B 200910,16.549,16.558,16.536,16.541,16.527,16.53,16.536,16.556,16.554,24.867,24.866,24.86,24.874,24.881,24.873,24.869,24.882,24.872,7,4.186
A0067885B3 171958 T0104B 200910,A0067885B3 171958 S0104B 200910,16.523,16.563,16.551,16.509,16.552,16.558,16.532,16.566,16.571,24.86,24.861,24.852,24.868,24.879,24.869,24.874,24.88,24.871,7,4.186
A0067885B3 171958 T0105B 200910,A0067885B3 171958 S0105B 200910,16.528,16.566,16.56,16.515,16.486,16.536,16.535,16.5,16.55,24.871,24.866,24.86,24.876,24.88,24.873,24.877,24.882,24.877,11,4.194
A0067885B3 171958 T0106B 200910,A0067885B3 171958 S0106B 200910,16.514,16.54,16.526,16.492,16.469,16.477,16.519,16.473,16.51,24.867,24.866,24.862,24.877,24.883,24.878,24.875,24.879,24.877,7,4.186
A0067885B3 171958 T0107B 200910,A0067885B3 171958 S0107B 200910,16.531,16.545,16.529,16.554,16.515,16.529,16.562,16.549,16.54,24.869,24.867,24.861,24.876,24.88,24.876,24.876,24.878,24.872,7,4.186
A0067885B3 171958 T0108B 200910,A0067885B3 171958 S0108B 200910,16.535,16.578,16.531,16.518,16.509,16.517,16.535,16.529,16.522,24.87,24.868,24.862,24.88,24.882,24.878,24.88,24.88,24.875,10,4.192
A0067885B3 171958 T0109B 200910,A0067885B3 171958 S0109B 200910,16.523,16.515,16.524,16.489,16.455,16.481,16.513,16.46,16.504,24.869,24.867,24.863,24.878,24.884,24.879,24.875,24.884,24.876,7,4.186
A0067885B3 171958 T0110B 200910,A0067885B3 171958 S0110B 200910,16.545,16.565,16.562,16.541,16.503,16.568,16.564,16.537,16.564,24.873,24.869,24.866,24.881,24.885,24.881,24.878,24.883,24.88,7,4.186
A0067885B3 171958 T0111B 200910,A0067885B3 171958 S0111B 200910,16.54,16.571,16.529,16.544,16.494,16.523,16.557,16.517,16.545,24.869,24.868,24.865,24.88,24.881,24.881,24.877,24.881,24.88,7,4.186
A0067885B3 171958 T0112B 200910,A0067885B3 171958 S0112B 200910,16.536,16.585,16.519,16.52,16.525,16.525,16.552,16.518,16.542,24.869,24.87,24.861,24.875,24.879,24.876,24.874,24.88,24.872,7,4.186
A0067885B3 171958 T0113B 200910,A0067885B3 171958 S0113B 200910,16.541,16.586,16.528,16.537,16.513,16.517,16.546,16.514,16.546,24.861,24.866,24.854,24.866,24.872,24.865,24.867,24.873,24.867,7,4.186
A0067885B3 171958 T0114B 200910,A0067885B3 171958 S0114B 200910,16.528,16.508,16.554,16.51,16.407,16.515,16.539,16.428,16.53,24.869,24.868,24.862,24.877,24.879,24.876,24.872,24.879,24.874,7,4.186
A0067885B3 171958 T0115B 200910,A0067885B3 171958 S0115B 200910,16.527,16.572,16.519,16.54,16.487,16.515,16.56,16.497,16.535,24.867,24.868,24.859,24.874,24.878,24.87,24.863,24.866,24.863,7,4.186
A0067885B3 171958 T0116B 200910,A0067885B3 171958 S0116B 200910,16.537,16.59,16.531,16.531,16.558,16.551,16.557,16.566,16.568,24.86,24.86,24.854,24.864,24.869,24.865,24.864,24.868,24.862,7,4.186
A0067885B3 171958 T0117B 200910,A0067885B3 171958 S0117B 200910,16.52,16.563,16.542,16.482,16.579,16.556,16.52,16.582,16.561,24.867,24.856,24.854,24.87,24.877,24.871,24.876,24.875,24.866,7,4.186
A0067885B3 171958 T0118B 200910,A0067885B3 171958 S0118B 200910,16.55,16.552,16.537,16.545,16.517,16.513,16.567,16.524,16.541,24.862,24.862,24.855,24.868,24.871,24.868,24.863,24.868,24.864,7,4.186
A0067885B3 171958 T0119B 200910,A0067885B3 171958 S0119B 200910,16.529,16.542,16.522,16.481,16.477,16.476,16.508,16.476,16.505,24.865,24.862,24.858,24.871,24.877,24.875,24.869,24.876,24.872,7,4.186
A0067885B3 171958 T0120B 200910,A0067885B3 171958 S0120B 200910,16.553,16.569,16.549,16.557,16.518,16.545,16.556,16.548,16.57,24.864,24.863,24.855,24.87,24.872,24.868,24.866,24.872,24.866,7,4.186
A0067885B3 171958 T0121B 200910,A0067885B3 171958 S0121B 200910,16.55,16.552,16.538,16.53,16.508,16.507,16.547,16.518,16.532,24.867,24.867,24.858,24.876,24.878,24.874,24.876,24.879,24.874,7,4.186
A0067885B3 171958 T0122B 200910,A0067885B3 171958 S0122B 200910,16.537,16.557,16.548,16.509,16.541,16.527,16.533,16.533,16.554,24.86,24.857,24.851,24.866,24.871,24.867,24.862,24.871,24.866,10,4.192
A0067885B3 171958 T0123B 200910,A0067885B3 171958 S0123B 200910,16.541,16.591,16.545,16.522,16.564,16.552,16.553,16.574,16.565,24.864,24.865,24.855,24.87,24.875,24.871,24.866,24.874,24.865,10,4.192
A0067885B3 171958 T0124B 200910,A0067885B3 171958 S0124B 200910,16.559,16.55,16.544,16.536,16.495,16.494,16.547,16.504,16.513,24.848,24.847,24.84,24.859,24.859,24.869,24.859,24.861,24.862,7,4.186
A0067885B3 171958 T0125B 200910,A0067885B3 171958 S0125B 200910,16.52,16.574,16.532,16.52,16.489,16.498,16.537,16.501,16.525,24.856,24.856,24.853,24.862,24.868,24.867,24.861,24.868,24.865,7,4.186
A0067885B3 171958 T0126B 200910,A0067885B3 171958 S0126B 200910,16.562,16.569,16.53,16.526,16.496,16.537,16.538,16.513,16.557,24.857,24.856,24.85,24.866,24.868,24.869,24.861,24.864,24.86,7,4.186
A0067885B3 171958 T0127B 200910,A0067885B3 171958 S0127B 200910,16.552,16.553,16.551,16.503,16.474,16.487,16.52,16.472,16.516,24.859,24.857,24.855,24.865,24.867,24.866,24.863,24.867,24.861,2,4.175
A0067885B3 171958 T0128B 200910,A0067885B3 171958 S0128B 200910,16.529,16.522,16.526,16.486,16.44,16.459,16.522,16.436,16.493,24.869,24.87,24.862,24.876,24.883,24.876,24.875,24.882,24.876,10,4.192
A0067885B3 171958 T0129B 200910,A0067885B3 171958 S0129B 200910,16.567,16.567,16.571,16.548,16.541,16.519,16.561,16.54,16.542,24.86,24.857,24.854,24.871,24.872,24.87,24.872,24.878,24.872,7,4.186
A0067885B3 171958 T0130B 200910,A0067885B3 171958 S0130B 200910,16.519,16.559,16.521,16.539,16.496,16.494,16.545,16.506,16.524,24.87,24.867,24.861,24.877,24.879,24.876,24.873,24.879,24.873,2,4.175
A0067885B3 171958 T0131B 200910,A0067885B3 171958 S0131B 200910,16.527,16.567,16.51,16.514,16.518,16.484,16.534,16.523,16.51,24.857,24.857,24.848,24.861,24.87,24.862,24.861,24.873,24.864,7,4.186
A0067885B3 171958 T0132B 200910,A0067885B3 171958 S0132B 200910,16.579,16.582,16.544,16.558,16.565,16.52,16.57,16.57,16.549,24.869,24.866,24.862,24.878,24.88,24.875,24.876,24.883,24.875,7,4.186
A0067885B3 171958 T0133B 200910,A0067885B3 171958 S0133B 200910,16.538,16.544,16.545,16.507,16.505,16.518,16.526,16.516,16.541,24.863,24.859,24.855,24.872,24.875,24.87,24.87,24.876,24.869,7,4.186
A0067885B3 171958 T0134B 200910,A0067885B3 171958 S0134B 200910,16.517,16.567,16.541,16.492,16.513,16.505,16.515,16.508,16.536,24.853,24.856,24.85,24.862,24.869,24.862,24.861,24.864,24.857,7,4.186
A0067885B3 171958 T0135B 200910,A0067885B3 171958 S0135B 200910,16.529,16.543,16.521,16.478,16.483,16.48,16.512,16.479,16.513,24.849,24.848,24.843,24.853,24.862,24.851,24.851,24.86,24.851,7,4.186
A0067885B3 171958 T0136B 200910,A0067885B3 171958 S0136B 200910,16.551,16.574,16.544,16.544,16.549,16.532,16.572,16.546,16.566,24.868,24.87,24.864,24.879,24.883,24.878,24.874,24.881,24.875,2,4.175
A0067885B3 171958 T0137B 200910,A0067885B3 171958 S0137B 200910,16.556,16.567,16.548,16.575,16.487,16.553,16.584,16.508,16.576,24.862,24.863,24.853,24.865,24.872,24.864,24.863,24.87,24.86,7,4.186
A0067885B3 171958 T0138B 200910,A0067885B3 171958 S0138B 200910,16.52,16.539,16.523,16.492,16.473,16.478,16.51,16.484,16.503,24.86,24.858,24.85,24.863,24.864,24.86,24.856,24.865,24.856,7,4.186
A0067885B3 171958 T0139B 200910,A0067885B3 171958 S0139B 200910,16.521,16.567,16.543,16.508,16.498,16.545,16.544,16.501,16.558,24.869,24.869,24.86,24.876,24.879,24.872,24.873,24.877,24.873,7,4.186
A0067885B3 171958 T0140B 200910,A0067885B3 171958 S0140B 200910,16.529,16.576,16.561,16.505,16.541,16.579,16.522,16.571,16.587,24.865,24.871,24.859,24.872,24.882,24.873,24.872,24.88,24.872,10,4.192
A0067885B3 171958 T0141B 200910,A0067885B3 171958 S0141B 200910,16.556,16.58,16.554,16.57,16.526,16.57,16.587,16.535,16.589,24.855,24.854,24.844,24.859,24.869,24.86,24.853,24.862,24.853,7,4.186
A0067885B3 171958 T0142B 200910,A0067885B3 171958 S0142B 200910,16.555,16.565,16.561,16.563,16.523,16.567,16.574,16.548,16.583,24.873,24.873,24.863,24.876,24.882,24.875,24.875,24.88,24.871,7,4.186
A0067885B3 171958 T0143B 200910,A0067885B3 171958 S0143B 200910,16.552,16.556,16.547,16.563,16.514,16.54,16.571,16.532,16.568,24.867,24.867,24.861,24.875,24.881,24.876,24.88,24.881,24.874,10,4.192
A0067885B3 171958 T0144B 200910,A0067885B3 171958 S0144B 200910,16.553,16.563,16.533,16.559,16.526,16.548,16.571,16.548,16.57,24.873,24.87,24.867,24.882,24.885,24.883,24.881,24.886,24.88,7,4.186
A0067885B3 171958 T0145B 200910,A0067885B3 171958 S0145B 200910,16.527,16.548,16.526,16.482,16.488,16.476,16.505,16.492,16.5,24.869,24.867,24.859,24.875,24.88,24.874,24.876,24.885,24.875,7,4.186
A0067885B3 171958 T0146B 200910,A0067885B3 171958 S0146B 200910,16.553,16.545,16.545,16.523,16.486,16.522,16.531,16.51,16.538,24.864,24.861,24.857,24.873,24.877,24.871,24.871,24.878,24.871,10,4.192
A0067885B3 171958 T0147B 200910,A0067885B3 171958 S0147B 200910,16.538,16.583,16.53,16.534,16.528,16.531,16.561,16.545,16.538,24.865,24.866,24.861,24.869,24.878,24.872,24.87,24.877,24.871,7,4.186
A0067885B3 171958 T0148B 200910,A0067885B3 171958 S0148B 200910,16.548,16.552,16.544,16.548,16.519,16.519,16.552,16.538,16.545,24.86,24.862,24.855,24.866,24.874,24.865,24.865,24.873,24.864,7,4.186
A0067885B3 171958 T0149B 200910,A0067885B3 171958 S0149B 200910,16.564,16.568,16.559,16.584,16.523,16.551,16.587,16.563,16.561,24.855,24.855,24.846,24.857,24.862,24.855,24.852,24.859,24.853,11,4.194
A0067885B3 171958 T0150B 200910,A0067885B3 171958 S0150B 200910,16.536,16.553,16.557,16.553,16.501,16.543,16.582,16.52,16.562,24.862,24.863,24.856,24.869,24.874,24.868,24.866,24.873,24.868,2,4.175
A0067885B3 171958 T0151B 200910,A0067885B3 171958 S0151B 200910,16.521,16.555,16.539,16.533,16.505,16.547,16.555,16.525,16.558,24.86,24.862,24.852,24.868,24.874,24.867,24.869,24.875,24.869,10,4.192
A0067885B3 171958 T0152B 200910,A0067885B3 171958 S0152B 200910,16.546,16.555,16.554,16.529,16.525,16.519,16.554,16.538,16.542,24.864,24.86,24.855,24.871,24.875,24.866,24.871,24.877,24.868,7,4.186
A0067885B3 171958 T0153B 200910,A0067885B3 171958 S0153B 200910,16.553,16.567,16.547,16.537,16.522,16.542,16.552,16.543,16.559,24.854,24.85,24.845,24.863,24.869,24.861,24.864,24.87,24.862,2,4.175
A0067885B3 171958 T0154B 200910,A0067885B3 171958 S0154B 200910,16.529,16.559,16.561,16.513,16.521,16.567,16.536,16.549,16.567,24.868,24.864,24.859,24.874,24.877,24.872,24.872,24.876,24.873,10,4.192
A0067885B3 171958 T0155B 200910,A0067885B3 171958 S0155B 200910,16.535,16.557,16.553,16.559,16.493,16.556,16.584,16.512,16.569,24.875,24.872,24.868,24.881,24.886,24.882,24.883,24.884,24.882,2,4.175
A0067885B3 171958 T0156B 200910,A0067885B3 171958 S0156B 200910,16.547,16.557,16.55,16.524,16.525,16.526,16.563,16.528,16.541,24.862,24.862,24.859,24.866,24.874,24.871,24.863,24.873,24.866,7,4.186
A0067885B3 171958 T0157B 200910,A0067885B3 171958 S0157B 200910,16.543,16.591,16.578,16.566,16.514,16.54,16.572,16.528,16.559,24.867,24.865,24.862,24.873,24.879,24.874,24.869,24.876,24.87,10,4.192
A0067885B3 171958 T0158B 200910,A0067885B3 171958 S0158B 200910,16.536,16.559,16.559,16.52,16.519,16.573,16.546,16.545,16.579,24.848,24.849,24.842,24.855,24.864,24.857,24.849,24.856,24.851,7,4.186
A0067885B3 171958 T0159B 200910,A0067885B3 171958 S0159B 200910,16.533,16.584,16.541,16.529,16.513,16.516,16.556,16.512,16.552,24.865,24.866,24.859,24.875,24.878,24.873,24.873,24.879,24.873,7,4.186
A0067885B3 171958 T0160B 200910,A0067885B3 171958 S0160B 200910,16.573,16.551,16.525,16.574,16.486,16.521,16.576,16.504,16.542,24.864,24.862,24.858,24.872,24.876,24.873,24.87,24.875,24.871,10,4.192
A0067885B3 171958 T0161B 200910,A0067885B3 171958 S0161B 200910,16.541,16.549,16.553,16.525,16.514,16.551,16.549,16.53,16.567,24.871,24.87,24.861,24.875,24.878,24.873,24.878,24.879,24.874,2,4.175
A0067885B3 171958 T0162B 200910,A0067885B3 171958 S0162B 200910,16.567,16.576,16.577,16.535,16.522,16.547,16.56,16.523,16.565,24.861,24.864,24.857,24.867,24.876,24.868,24.867,24.873,24.866,2,4.175
A0067885B3 171958 T0163B 200910,A0067885B3 171958 S0163B 200910,16.563,16.519,16.571,16.534,16.47,16.566,16.539,16.499,16.573,24.867,24.871,24.864,24.875,24.882,24.878,24.874,24.882,24.873,10,4.192
A0067885B3 171958 T0164B 200910,A0067885B3 171958 S0164B 200910,16.55,16.561,16.555,16.534,16.49,16.535,16.552,16.509,16.551,24.867,24.859,24.856,24.87,24.873,24.868,24.863,24.995,24.866,7,4.186
A0067885B3 171958 T0165B 200910,A0067885B3 171958 S0165B 200910,16.548,16.564,16.529,16.531,16.504,16.531,16.549,16.522,16.548,24.875,24.872,24.867,24.883,24.885,24.881,24.881,24.886,24.879,7,4.186
A0067885B3 171958 T0166B 200910,A0067885B3 171958 S0166B 200910,16.549,16.577,16.537,16.541,16.546,16.511,16.569,16.541,16.528,24.861,24.861,24.857,24.87,24.875,24.874,24.868,24.873,24.87,10,4.192
A0067885B3 171958 T0167B 200910,A0067885B3 171958 S0167B 200910,16.544,16.568,16.539,16.525,16.563,16.516,16.535,16.575,16.542,24.86,24.859,24.85,24.86,24.867,24.859,24.858,24.867,24.857,7,4.186
A0067885B3 171958 T0168B 200910,A0067885B3 171958 S0168B 200910,16.517,16.578,16.523,16.537,16.516,16.525,16.565,16.512,16.558,24.866,24.867,24.857,24.874,24.882,24.871,24.87,24.88,24.87,7,4.186
A0067885B3 171958 T0169B 200910,A0067885B3 171958 S0169B 200910,16.545,16.574,16.574,16.559,16.519,16.549,16.574,16.548,16.551,24.844,24.845,24.84,24.851,24.863,24.851,24.855,24.865,24.852,10,4.192
A0067885B3 171958 T0170B 200910,A0067885B3 171958 S0170B 200910,16.539,16.581,16.548,16.524,16.548,16.547,16.527,16.571,16.563,24.87,24.869,24.865,24.874,24.878,24.873,24.869,24.877,24.873,7,4.186
A0067885B3 171958 T0171B 200910,A0067885B3 171958 S0171B 200910,16.537,16.561,16.53,16.53,16.516,16.507,16.547,16.524,16.531,24.863,24.864,24.857,24.866,24.87,24.869,24.865,24.951,24.862,7,4.186
A0067885B3 171958 T0172B 200910,A0067885B3 171958 S0172B 200910,16.533,16.563,16.544,16.527,16.512,16.548,16.558,16.512,16.571,24.866,24.865,24.861,24.875,24.879,24.877,24.87,24.875,24.872,10,4.192
A0067885B3 171958 T0173B 200910,A0067885B3 171958 S0173B 200910,16.537,16.55,16.534,16.51,16.478,16.5,16.53,16.486,16.519,24.865,24.862,24.856,24.869,24.873,24.871,24.869,24.874,24.87,2,4.175
A0067885B3 171958 T0174B 200910,A0067885B3 171958 S0174B 200910,16.535,16.551,16.543,16.498,16.502,16.531,16.544,16.505,16.544,24.87,24.869,24.861,24.874,24.877,24.873,24.871,24.876,24.868,7,4.186
A0067885B3 171958 T0175B 200910,A0067885B3 171958 S0175B 200910,16.539,16.544,16.537,16.509,16.556,16.503,16.529,16.561,16.527,24.847,24.845,24.84,24.854,24.855,24.853,24.847,24.854,24.851,10,4.192
A0067885B3 171958 T0176B 200910,A0067885B3 171958 S0176B 200910,16.539,16.556,16.555,16.506,16.512,16.535,16.542,16.509,16.551,24.865,24.864,24.859,24.871,24.874,24.871,24.869,24.875,24.87,2,4.175
A0067885B3 171958 T0177B 200910,A0067885B3 171958 S0177B 200910,16.555,16.565,16.549,16.559,16.525,16.522,16.568,16.542,16.55,24.865,24.87,24.859,24.872,24.879,24.871,24.876,24.879,24.876,7,4.186
A0067885B3 171958 T0178B 200910,A0067885B3 171958 S0178B 200910,16.549,16.569,16.545,16.544,16.543,16.535,16.553,16.557,16.555,24.868,24.869,24.863,24.873,24.88,24.874,24.869,24.879,24.871,10,4.192
